Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
49,32,42,7,7,76,2,1.29,0.84,2.13,1.11,1.95,54.1,48.8,35.0,83.8,1.42,0.92,2.34,1.28,2.20
67,48,62,5,5,91,9,1.76,1.26,3.03,1.63,2.89,55.6,51.8,35.8,87.6,1.46,0.94,2.40,1.36,2.30
60,39,50,10,10,52,2,1.58,1.03,2.61,1.32,2.34,56.0,48.6,35.2,83.8,1.47,0.93,2.40,1.28,2.21
64,43,62,2,3,58,3,1.68,1.13,2.82,1.63,2.76,63.0,60.7,44.3,105.0,1.66,1.17,2.82,1.60,2.76
39,30,38,1,2,63,0,1.03,0.79,1.82,1.00,1.79,34.8,33.1,26.3,59.4,0.92,0.69,1.61,0.87,1.56
52,35,48,4,5,62,2,1.37,0.92,2.29,1.26,2.18,48.1,44.5,33.6,78.2,1.26,0.89,2.15,1.17,2.06
44,24,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,46.4,42.5,30.5,73.0,1.22,0.80,2.02,1.12,1.92
48,36,43,5,5,70,6,1.26,0.95,2.21,1.13,2.08,44.4,40.7,31.6,72.3,1.17,0.83,2.00,1.07,1.90
22,16,22,0,1,48,1,0.58,0.42,1.00,0.58,1.00,30.5,29.7,20.1,49.8,0.80,0.53,1.33,0.78,1.31
23,14,19,4,4,54,2,0.61,0.37,0.97,0.50,0.87,25.3,22.6,18.7,41.3,0.67,0.49,1.16,0.59,1.09
51,37,45,6,6,67,1,1.34,0.97,2.32,1.18,2.16,48.1,43.5,34.4,78.0,1.27,0.91,2.17,1.15,2.05
47,32,41,6,6,58,1,1.24,0.84,2.08,1.08,1.92,53.7,49.2,35.0,84.3,1.41,0.92,2.34,1.30,2.22
62,49,60,2,3,62,1,1.63,1.29,2.92,1.58,2.87,55.5,53.2,38.9,92.1,1.46,1.02,2.48,1.40,2.42
36,28,33,3,5,61,2,0.95,0.74,1.68,0.87,1.61,45.3,41.3,30.7,72.0,1.19,0.81,2.00,1.09,1.90
56,38,52,4,5,50,3,1.47,1.00,2.47,1.37,2.37,54.5,50.7,36.0,86.6,1.43,0.95,2.38,1.33,2.28
54,40,50,4,5,57,1,1.42,1.05,2.47,1.32,2.37,62.1,58.3,44.7,102.9,1.63,1.18,2.81,1.53,2.71
42,32,39,3,4,76,4,1.11,0.84,1.95,1.03,1.87,38.0,35.0,23.1,58.1,1.00,0.61,1.61,0.92,1.53
