Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG
466,159,34.1,12.26,4.18,0.14,0.41,16.2,11,0.12,11,10.9
432,153,35.4,11.37,4.03,0.11,0.31,16.5,14,0.11,0.6,0.4
366,100,27.3,9.63,2.63,0.08,0.3,16.9,12,0.08,0.9,0.4
356,114,32,9.37,3,0.12,0.36,15.1,14,0.11,2.3,1.8
596,190,31.9,15.68,5,0.09,0.29,17.3,30,0.09,2.7,1.5
487,136,27.9,12.82,3.58,0.08,0.28,17,16,0.09,-2.8,-4.8
490,159,32.4,12.89,4.18,0.1,0.32,16.2,20,0.09,5.7,7.7
508,173,34.1,13.37,4.55,0.08,0.25,17.8,18,0.09,-1.6,-1.5
569,211,37.1,14.97,5.55,0.14,0.37,16.3,20,0.12,11.2,9.5
673,249,37,17.71,6.55,0.13,0.35,16.4,21,0.12,9,9.1
513,211,41.1,13.5,5.55,0.11,0.27,18.1,27,0.1,5.6,5.8
434,135,31.1,11.42,3.55,0.09,0.3,18.1,17,0.09,1.4,2.7
483,153,31.7,12.71,4.03,0.08,0.26,18.2,20,0.09,-2.1,-2.5
533,185,34.7,14.03,4.87,0.12,0.34,17.2,23,0.1,8.1,7.1
433,151,34.9,11.39,3.97,0.12,0.33,16.6,22,0.11,2.9,2.7
439,147,33.5,11.55,3.87,0.1,0.31,16.5,17,0.1,2.8,1.5
467,141,30.2,12.29,3.71,0.09,0.3,17.3,12,0.1,-3,-3.9
