Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
48,30,41,7,8,79,1,1.26,0.79,2.05,1.08,1.87,56.6,50.4,35.8,86.2,1.49,0.94,2.43,1.33,2.27
66,44,61,5,6,90,7,1.74,1.16,2.89,1.61,2.76,65.9,61.3,44.3,105.5,1.73,1.17,2.90,1.61,2.78
52,42,50,2,2,61,1,1.37,1.11,2.47,1.32,2.42,54.5,52.9,39.0,91.9,1.43,1.03,2.46,1.39,2.42
49,38,45,4,5,42,3,1.29,1.00,2.29,1.18,2.18,48.3,44.5,33.1,77.6,1.27,0.87,2.14,1.17,2.04
51,36,49,2,2,76,3,1.34,0.95,2.29,1.29,2.24,37.9,36.4,26.0,62.4,1.00,0.68,1.68,0.96,1.64
48,36,48,0,1,88,5,1.26,0.95,2.21,1.26,2.21,51.3,50.6,35.5,86.0,1.35,0.93,2.28,1.33,2.26
53,39,50,3,4,61,2,1.39,1.03,2.42,1.32,2.34,48.4,45.4,32.0,77.4,1.27,0.84,2.11,1.19,2.04
39,26,31,8,10,69,3,1.03,0.68,1.71,0.82,1.50,44.5,37.0,28.7,65.7,1.17,0.76,1.93,0.97,1.73
32,23,31,1,1,47,0,0.84,0.61,1.45,0.82,1.42,40.0,39.3,29.1,68.3,1.05,0.76,1.82,1.03,1.80
34,25,31,3,3,53,1,0.89,0.66,1.55,0.82,1.47,34.7,32.9,23.0,55.9,0.91,0.61,1.52,0.87,1.47
35,24,32,3,3,79,2,0.92,0.63,1.55,0.84,1.47,37.4,35.2,24.7,59.9,0.98,0.65,1.64,0.93,1.58
56,38,54,2,2,57,2,1.47,1.00,2.47,1.42,2.42,58.3,56.8,39.8,96.7,1.53,1.05,2.58,1.49,2.54
39,28,38,1,3,46,0,1.03,0.74,1.76,1.00,1.74,47.9,45.6,34.0,79.6,1.26,0.89,2.16,1.20,2.10
59,41,56,3,4,67,3,1.55,1.08,2.63,1.47,2.55,53.1,50.0,34.4,84.4,1.40,0.91,2.30,1.32,2.22
45,27,40,5,7,83,1,1.18,0.71,1.89,1.05,1.76,52.0,46.9,33.8,80.8,1.37,0.89,2.26,1.24,2.13
59,49,54,5,6,45,0,1.55,1.29,2.84,1.42,2.71,61.1,56.5,46.1,102.6,1.61,1.21,2.82,1.49,2.70
39,28,38,1,3,85,5,1.03,0.74,1.76,1.00,1.74,34.8,32.4,24.5,56.9,0.92,0.65,1.56,0.85,1.50
