Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG
401,144,35.9,10.55,3.79,0.13,0.37,15.9,19,0.12,6.8,6.1
453,146,32.2,11.92,3.84,0.09,0.27,16.9,17,0.08,-0.1,1.3
456,137,30,12,3.61,0.07,0.25,17.1,11,0.09,-6.2,-5.7
384,124,32.3,10.11,3.26,0.1,0.31,15.7,17,0.11,-2.9,-3.6
619,210,33.9,16.29,5.53,0.1,0.3,16.2,27,0.1,2.4,0.3
372,116,31.2,9.79,3.05,0.07,0.22,16.5,15,0.09,-5,-5.9
465,155,33.3,12.24,4.08,0.09,0.26,15.7,20,0.11,-7.3,-7.5
533,181,34,14.03,4.76,0.11,0.33,16.7,20,0.11,3.4,3.8
585,222,37.9,15.39,5.84,0.13,0.35,16.1,18,0.12,11.5,10.3
730,246,33.7,19.21,6.47,0.13,0.38,15.8,27,0.12,7,9.4
528,200,37.9,13.89,5.26,0.1,0.28,18.5,33,0.09,5.6,6.2
397,127,32,10.45,3.34,0.1,0.3,18.5,14,0.08,4.9,5.7
353,109,30.9,9.29,2.87,0.1,0.32,14.7,4,0.12,-5.5,-5.8
497,169,34,13.08,4.45,0.1,0.29,17.4,27,0.1,-3,-1
439,155,35.3,11.55,4.08,0.12,0.34,17.8,21,0.1,9.9,10
414,157,37.9,10.89,4.13,0.11,0.29,15.6,13,0.11,2.8,1.8
453,142,31.3,11.92,3.74,0.1,0.32,16.9,12,0.1,1.9,0.9
