Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG
455,141,31,11.97,3.71,0.1,0.33,16.9,23,0.11,-0.5,-2
518,179,34.6,13.63,4.71,0.09,0.26,16.5,15,0.1,-0.9,-1.5
476,129,27.1,12.53,3.39,0.07,0.26,16.6,14,0.1,-12.6,-11.8
383,125,32.6,10.08,3.29,0.08,0.23,16.6,15,0.1,-7.9,-8.6
553,194,35.1,14.55,5.11,0.09,0.25,16.3,16,0.1,-8,-8.4
346,129,37.3,9.11,3.39,0.1,0.28,16.8,18,0.09,6.6,6.5
395,144,36.5,10.39,3.79,0.1,0.28,16.4,15,0.11,-2.2,-2.5
524,196,37.4,13.79,5.16,0.11,0.29,16.2,9,0.11,2.5,1.5
472,172,36.4,12.42,4.53,0.11,0.31,18,20,0.1,8,7.1
600,201,33.5,15.79,5.29,0.1,0.29,16.2,20,0.12,-7.6,-9.1
590,213,36.1,15.53,5.61,0.13,0.36,16.6,21,0.12,8.7,10.4
517,197,38.1,13.61,5.18,0.12,0.3,17.3,21,0.1,9.8,8.1
387,130,33.6,10.18,3.42,0.1,0.29,17.5,24,0.09,3,2.5
417,157,37.6,10.97,4.13,0.1,0.27,17.6,20,0.09,4.6,4.1
442,166,37.6,11.63,4.37,0.14,0.37,17.2,35,0.12,11.5,10.3
462,158,34.2,12.16,4.16,0.13,0.37,15.4,16,0.11,6.1,7.3
462,149,32.3,12.16,3.92,0.06,0.2,17.7,14,0.08,-5.9,-6.8
