# Pl,Age,Poss,Gls,Ast,G-PK,PK,PKatt,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
29,25.9,53.8,53,38,47,6,6,1.39,1,2.39,1.24,2.24,53.5,49,36.6,85.5,1.41,0.96,2.37,1.29,2.25
24,25.2,48.1,52,38,47,5,6,1.37,1,2.37,1.24,2.24,52.9,48.5,37.1,85.6,1.39,0.98,2.37,1.28,2.25
27,25.8,51.3,39,24,33,6,9,1.03,0.63,1.66,0.87,1.5,51.6,44.8,33,77.8,1.36,0.87,2.23,1.18,2.05
25,28.3,41.7,32,20,29,3,3,0.84,0.53,1.37,0.76,1.29,39.9,37.6,27.1,64.8,1.05,0.71,1.76,0.99,1.7
27,26,61.4,56,38,48,8,10,1.47,1,2.47,1.26,2.26,64,56.4,42.4,98.8,1.68,1.12,2.8,1.48,2.6
24,29.1,40.1,39,29,36,3,4,1.03,0.76,1.79,0.95,1.71,32.4,29.5,20.9,50.4,0.85,0.55,1.4,0.78,1.33
29,26.3,46.5,45,32,41,4,5,1.18,0.84,2.03,1.08,1.92,47.2,43.5,32.9,76.4,1.24,0.87,2.11,1.14,2.01
23,26.1,57.6,60,45,56,4,4,1.58,1.18,2.76,1.47,2.66,57.5,54.5,42.5,97,1.51,1.12,2.63,1.43,2.55
27,26.5,54.6,64,45,54,10,12,1.68,1.18,2.87,1.42,2.61,56,46.9,33.1,80,1.47,0.87,2.35,1.23,2.11
28,26.8,62.4,65,43,59,6,6,1.71,1.13,2.84,1.55,2.68,72.6,68.1,50,118.1,1.91,1.32,3.23,1.79,3.11
24,26.1,63.9,82,55,77,5,9,2.16,1.45,3.61,2.03,3.47,73.3,66.6,51,117.5,1.93,1.34,3.27,1.75,3.09
29,25.6,55.8,70,51,60,10,11,1.84,1.34,3.18,1.58,2.92,60.2,51.9,40.5,92.4,1.58,1.07,2.65,1.37,2.43
27,27.1,38.2,44,26,38,6,7,1.16,0.68,1.84,1,1.68,41,35.5,26.1,61.6,1.08,0.69,1.77,0.93,1.62
29,26.6,52.2,47,33,42,5,6,1.24,0.87,2.11,1.11,1.97,42.4,37.9,27.4,65.4,1.12,0.72,1.84,1,1.72
24,27.2,51.7,66,50,61,5,5,1.74,1.32,3.05,1.61,2.92,54.5,50.7,35.5,86.2,1.43,0.93,2.37,1.33,2.27
24,27.8,42.9,60,46,58,2,4,1.58,1.21,2.79,1.53,2.74,53.9,50.7,36.8,87.5,1.42,0.97,2.39,1.33,2.3
27,26.3,49.3,34,21,30,4,4,0.89,0.55,1.45,0.79,1.34,39.9,36.8,26.4,63.3,1.05,0.7,1.74,0.97,1.66
